SCAN_NO_TECH	{No scan technology installed}
OSD_WAR_PLAYER_RANK_HIGHEST3	{New Vy'keen Rank: Templar}
ALL_REQUEST_FUEL_COMMON	{Request common isotope}
ALL_REQUEST_FUEL_UNCOMMON	{Request uncommon isotope}
ALL_REQUEST_FUEL_RARE	{Request rare isotope}
ALL_REQUEST_COMM_COMMON	{Request common oxide}
ALL_REQUEST_COMM_UNCOMMON	{Request uncommon oxide}
ALL_REQUEST_COMM_RARE	{Request rare oxide}
ALL_REQUEST_TECH_COMMON	{Request common silicate}
ALL_REQUEST_TECH_UNCOMMON	{Request uncommon silicate}
ALL_REQUEST_TECH_RARE	{Request rare silicate}
ALL_REQUEST_SCAN	{Request scan of local area}
ALL_REQUEST_PROPULSIONGEL	{Request Propulsion Gel}
ALL_REQUEST_CHARGECYLINDER	{Request Charge Cylinder}
ALL_REQUEST_WEAPON	{Request new weapon}
ALL_REQUEST_RECIPE	{Request new product formula}
ALL_REQUEST_SHIPTECH	{Request new ship technology blueprint}
ALL_REQUEST_WEAPONTECH	{Request new weapon technology blueprint}
ALL_REQUEST_SUITTECH	{Request new suit technology blueprint}
ALL_REQUEST_UNITS	{Request units}
ALL_REQUEST_POWERGEL	{Request Power Gel}
ALL_REQUEST_POWERCAN	{Request Power Canister}
ALL_REQUEST_POWERRES	{Request Power Reservoir}
ALL_REQUEST_SHIELDSHA	{Request Shielding Shard}
ALL_REQUEST_SHIELDPLA	{Request Shielding Plate}
ALL_REQUEST_SHIELDSHE	{Request Shielding Sheet}
ALL_REQUEST_FUEL	{Request fuel}
ALL_REQUEST_WORD	{Request new word}
ALL_REQUEST_AMMO	{Request ammunition}
ALL_REQUEST_PLASMA	{Request unstable plasma}
ALL_REQUEST_RECIPE_ALT	{Request formula}
ALL_REQUEST_BLUEPRINT	{Request blueprint}
ALL_REQUEST_HEALING	{Request healing}
ALL_REQUEST_RECHARGE	{Request recharge}
ALL_REQUEST_REPAIR	{Request repair}
ALL_REQUEST_ALLOY	{Request alloy}
ALL_REQUEST_GIFT	{Request gift}
ALL_REQUEST_COMPON	{Request component}
ALL_REQUEST_ISOTOPE	{Request isotope}
ALL_REQUEST_SILICATE	{Request silicate}
ALL_REQUEST_OXIDE	{Request oxide}
ALL_REQUEST_NEUTRAL	{Request neutral element}
TRA_REQUEST_WORD	{Request help with Gek dialect}
EXP_REQUEST_WORD	{Request help with Korvax dialect}
WAR_REQUEST_WORD	{Request help with Vy'keen dialect}
ALL_REQUEST_HEALTH	{Request healing}
ALL_REQUEST_HURT	{Request to be damaged}
ALL_REQUEST_SHIELD	{Request shield recharge}
ALL_REQUEST_PRODUCT	{Request a product}
TRA_REQUEST_RES_1	{The Trader agrees to help!}
EXP_REQUEST_RES_1	{The lifeform agrees to help!}
WAR_REQUEST_RES_1	{The warrior agrees to help!}
TRA_REQUEST_LANG_1_OLD	{Friend! The Gek Trade Federation are open to your questions and requests! Speak! Speak!}
EXP_REQUEST_LANG_1_OLD	{Fascinating. The unknown creature has probable requests for help. The Korvax Convergence awaits illumination.}
WAR_REQUEST_LANG_1_OLD	{Grah! Interloper! Vy'keen High Command request warriors hear your pathetic requests!}
TRA_REQUEST_DESC_1	{The trader looks at me with boggle-eyed curiosity. They click their beak a few times, emit a neutral-scent, and wait for my request.}
TRA_REQUEST_DESC_2	{The Trader indicates that they are open for conversation with a click of their beak and a sweet-smelling gas emission.}
TRA_REQUEST_DESC_3	{The Trader stares into my visor and clicks their beak in time with my breathing.
 
I can only assume that this is supposed to make me feel welcome.}
TRA_REQUEST_DESC_4	{The Trader's frantic beak-clicking seems to indicate that they are open to some stilted conversation and potential miscommunication.}
TRA_REQUEST_DESC_5	{The Trader is clicking their beak and drooling slightly. 
When the drool is about to hit the hem of their suit, they somehow manage to snort it back through their nasal holes, creating an impressive (if temporary) phlegm-loop.}
TRA_REQUEST_DESC_6	{The scent of the Trader is as pleasant as it is intoxicating. There is pride in their eyes, perhaps as a result of the flowery gas that has engulfed both us and the entire facility.}
TRA_REQUEST_DESC_7	{The Trader clicks their beak with heightened energy. They stare at my exosuit and Multi-Tool, presumably wondering why I want to talk.}
TRA_REQUEST_DESC_8	{The Trader recently emitted a sweet-smelling gas. As the scent filters through my breathing apparatus, I wonder at the extra sales this odd evolution in communication must haved secured for this strange species.}
TRA_REQUEST_DESC_9	{The Trader wants to make itself understood. They click their beak slowly and nods their head encouragingly.
 
A small line of drool glistens in the rays cast by the facility's lighting apparatus.}
TRA_REQUEST_DESC_10	{The Trader had been eyeing me covertly and holding its breath, but now that I'm engaging them in conversation they becomes more animated.}
TRA_REQUEST_DESC_11	{A faintly unpleasant smell swiftly fades.
 
The Trader pecks my multi-tool, leaving a faint trace of drool, and it's made clear that they are open to conversation.}
TRA_REQUEST_DESC_12	{The scent of the Trader is as pleasant as it is intoxicating. 
 
There is pride in their eyes, perhaps as a result of the flowery gas that has engulfed both us and the entire facility.}
EXP_REQUEST_DESC_1	{The electronic lifeform pauses their work, looks up, and focuses their mask lights on my visor.

They wait for my request, but they seem desperate to get back to their vital research.}
EXP_REQUEST_DESC_2	{The electronic lifeform looks up at me with interest. Their facial lights constrict as they stare deep into my visor.
 
I can't help but feel that countless analytical systems are recording and studying every move I make.}
EXP_REQUEST_DESC_3	{The lights in the electronic lifeform's mask casing seem to constrict.
 
They tilt their head slightly as they chitters at me, perhaps wondering what it is that I want.}
EXP_REQUEST_DESC_4	{The electronic lifeform looks at my biological frame with something approaching pity. Not for the first time, I wonder what lies beneath the entity's mask.
 
Perhaps, long ago, this species was not so different from my own...}
EXP_REQUEST_DESC_5	{The lights in the electronic lifeform's casing start to brighten. They jerk their head sharply to the right, a strange buzzing noise signalling an on-rush of unseen data.
 
The download over, they downgrade their communication channels to those of conventional speech...}
EXP_REQUEST_DESC_6	{The lights in the lifeform's casing are wide and dim, but as they turn to talk their mask becomes momentarily blank. They swiftly come back online, but I can't help but feel that their piercing gaze is that of a different entity altogether.
 
Nonetheless, they seem keen to communicate.}
EXP_REQUEST_DESC_7	{A multitude of processes appear to be working within the electronic lifeform. There's one however, a very simple and inelegant one, that's devoted to conversing with creatures of low intelligence.
 
Right now, a fraction of that process seems to be directed at me.}
EXP_REQUEST_DESC_8	{The casing lights in the electronic lifeform's mask shine brightly. As they lean towards me, a bright flash burns into my retinas.
 
As the after-image subsides, the entity makes it clear that they are ready to converse with me.}
EXP_REQUEST_DESC_9	{The electronic lifeform speaks slowly, calmly and considerately. Their casing lights flash.
 
Despite their vast intellect, they clearly haven't been able to predict what I want from them...}
EXP_REQUEST_DESC_10	{My presence has made the lifeform somewhat curious. They buzz faintly to indicate that they are open to non-electronic communication.}
EXP_REQUEST_DESC_11	{I feel the bright piercing gaze of the electronic lifeform. They seem extremely interested in what I have to say.}
EXP_REQUEST_DESC_12	{The lights in the electronic lifeform's casing start to brighten. They jerk their head sharply to the right, a strange buzzing noise signalling an on-rush of unseen data.
 
The download over, they downgrade their communication channels to those of conventional speech...}
WAR_REQUEST_DESC_1	{The warrior's hackles rise, and they start to shake in anticipation of my request.

I sense that their ancestors are likely to be offended if I push the issue too far...}
WAR_REQUEST_DESC_2	{The warrior's movements indicate that their ancestors are not currently insulted.
 
They make friendly barking noises.}
WAR_REQUEST_DESC_3	{The warrior seems less aggressive than I might expect.
 
Their lips curl over their teeth as they taste my scent.}
WAR_REQUEST_DESC_4	{The warrior indicates that they have no current desire to kill me.
 
Their lips curl over their teeth a they deliver a series of elegantly formed barking noises.}
WAR_REQUEST_DESC_5	{The warrior is making snarling noises that sound strangely upbeat.
 
They do not seem intent on violence. Right now.}
WAR_REQUEST_DESC_6	{The warrior's barks have a welcoming tone. My exosuit's auditory sensors automatically turn down the relay volume.}
WAR_REQUEST_DESC_7	{The lifeform seems open to conversation, and their ancestors are currently not offended by my presence or the opinions I hold.}
WAR_REQUEST_DESC_8	{The warrior stares at me, as if in anticipation of a grave insult to their ancestry.
 
I'm about to back away when their face turns. They deliver a sequence of amused yelps at my hesitation, before indicating that they are open to further conversation.}
WAR_REQUEST_DESC_9	{The warrior shivers in anticipation before confronting me. They bark savagely, showing yellowed canines and a bloodied tongue.
 
As soon as the fury begins, however, it seems to be over. The lifeform nods solemnly, and indicates that they will hear my plea.}
WAR_REQUEST_DESC_10	{The warrior looks as if they could glory in their ancestry at any given moment.
 
Before they do so, however, they makes it clear that they are also willing to talk to me.}
WAR_REQUEST_DESC_11	{The warrior looks as if they might want something dead. Thankfully, right now, it doesn't feel like that's me...}
WAR_REQUEST_DESC_12	{The warrior seems less aggressive than I might expect.
 
Their lips curl over their teeth as they taste my scent.}
DNT_TRA_REQUEST_LANG_1	{Always trade with the Gek! The peaceful, benevolent Gek!}
DNT_TRA_REQUEST_LANG_2	{Gek worker can strengthen friend relations! Your request?}
DNT_TRA_REQUEST_LANG_3	{Can a Gek Trade Federation representative help you, friend?}
DNT_TRA_REQUEST_LANG_4	{Trading friend demand immediate attention! SalesGek help?}
DNT_TRA_REQUEST_LANG_5	{How can the Gek Trade Federation help you today?}
DNT_TRA_REQUEST_LANG_6	{Gek Trade Federation is peaceful and loving! Please buy things!}
DNT_TRA_REQUEST_LANG_7	{Always trade with the Gek! The peaceful, benevolent Gek!}
DNT_TRA_REQUEST_LANG_8	{Friend! Gek Trading Federation hopes you enjoy this planet!}
DNT_TRA_REQUEST_LANG_9	{Gek worker has admired your mining skills from afar!}
DNT_TRA_REQUEST_LANG_10	{Gek scent is alluring! A pleasure! A pleasure to converse!}
DNT_TRA_REQUEST_LANG_11	{SalesGek duty to respond to customer queries!}
DNT_TRA_REQUEST_LANG_12	{Yes. What? Gek on lunch break now.}
DNT_WAR_REQUEST_LANG_1	{Vy'keen High Command insist warrior help pathetic interloper coward. Your question?}
DNT_WAR_REQUEST_LANG_2	{Vy'keen warrior help pathetic, weak-minded interloper today?}
DNT_WAR_REQUEST_LANG_3	{Hail pathetic, weak-minded interloper. I serve requests with honour.}
DNT_WAR_REQUEST_LANG_4	{Interloper avoids offending Vy'keen ancestors today. Good news.}
DNT_WAR_REQUEST_LANG_5	{War alert high. Enemy species will suffer. Interloper species... currently acceptable.}
DNT_WAR_REQUEST_LANG_6	{Vy'keen High Command insist warrior help pathetic interloper coward. Your question?}
DNT_WAR_REQUEST_LANG_7	{Hail brave Vy'keen ally!}
DNT_WAR_REQUEST_LANG_8	{Interloper ally! War preparation is high, peace ends soon!}
DNT_WAR_REQUEST_LANG_9	{Interloper blood and Vy'keen blood run together. Glorious alliance!}
DNT_WAR_REQUEST_LANG_10	{Holy ancestors smile on the interloper.}
DNT_WAR_REQUEST_LANG_11	{Vy'keen warrior dislike pathetic, weak-minded coward species. Interloper species... almost acceptable.}
DNT_WAR_REQUEST_LANG_12	{Death! Death! Death! Death! Death! Joyful warrior!}
DNT_EXP_REQUEST_LANG_1	{Speech process operational. Hello. Entity awaits reciprocal traveller speech process.}
DNT_EXP_REQUEST_LANG_2	{Ahem. Fascinating. Average intelligence traveller.}
DNT_EXP_REQUEST_LANG_3	{Entity provide data?}
DNT_EXP_REQUEST_LANG_4	{Korvax Echoes teach benevolence to low intelligence species.}
DNT_EXP_REQUEST_LANG_5	{Species scan operational. Hmm. Fascinating lifeform.}
DNT_EXP_REQUEST_LANG_6	{Ahem. Korvax Entity help?}
DNT_EXP_REQUEST_LANG_7	{Korvax Convergence speaks through entity: welcome traveller.}
DNT_EXP_REQUEST_LANG_8	{Speech process operational. Hello. Entity awaits reciprocal traveller speech process.}
DNT_EXP_REQUEST_LANG_9	{Excellent planetary research Traveller! The Korvax Convergence admires your work!}
DNT_EXP_REQUEST_LANG_10	{Korvax Convergence adores fascinating traveller. New Korvax research topic!}
DNT_EXP_REQUEST_LANG_11	{Probable. Improbable. Fascinating.}
DNT_EXP_REQUEST_LANG_12	{Busy entity awaits insignificant request.}
ALL_REQUEST_STD_LOW	{Offer a gift}
ALL_REQUEST_STD_HIGH	{Pledge allegiance}
ALL_REQUEST_CRASHED SHIP	{Distress signal coordinates}
ALL_REQUEST_TECHFRAGMENTS	{Trade for Nanites}
EXPLORER_MONOLITH_OP_NAME_1	{Offer an item from your inventory.}
EXPLORER_MONOLITH_OP_NAME_2	{Stand in silence.}
EXPLORER_MONOLITH_OP_NAME_3	{Thank the Korvax Echoes.}
EXPLORER_MONOLITH_OP_NAME_4	{Shout in agreement.}
EXPLORER_MONOLITH_OP_NAME_5	{Indicate your agreement.}
EXPLORER_MONOLITH_OP_NAME_6	{Learn a Korvax word before the inscription fades.}
EXPLORER_MONOLITH_OP_NAME_7	{Daub the Monolith with evidence of your own scientific knowledge.}
EXPLORER_MONOLITH_OP_NAME_8	{Appeal for knowledge.}
EXPLORER_MONOLITH_OP_NAME_9	{State your ignorance.}
WARRIOR_MONOLITH_OPTION_NAME_1	{Strike the monolith.}
WARRIOR_MONOLITH_OPTION_NAME_2	{Leave an offering.}
WARRIOR_MONOLITH_OPTION_NAME_3	{Drop to your knees.}
WARRIOR_MONOLITH_OPTION_NAME_4	{Scream back.}
WARRIOR_MONOLITH_OPTION_NAME_5	{Fire your weapon at the monolith.}
WARRIOR_MONOLITH_OPTION_NAME_6	{Make a barking noise.}
WARRIOR_MONOLITH_OPTION_NAME_7	{Learn a Vy'keen word before the inscription fades.}
WARRIOR_MONOLITH_OPTION_NAME_8	{Place your hand inside the portal.}
TRADER_MONOLITH_OPTION_NAME_1	{Bow to the monolith.}
TRADER_MONOLITH_OPTION_NAME_2	{Agree.}
TRADER_MONOLITH_OPTION_NAME_3	{Leave something from your inventory at the foot of the monolith.}
TRADER_MONOLITH_OPTION_NAME_4	{Announce your presence.}
TRADER_MONOLITH_OPTION_NAME_5	{Tell the Memory Keepers you hear them.}
TRADER_MONOLITH_OPTION_NAME_6	{Learn a Gek word before the inscription fades.}
TRADER_MONOLITH_OPTION_NAME_7	{Use your equipment to rekindle the fires}
TRADER_MONOLITH_OPTION_NAME_8	{Take the offering.}
TRADER_MONOLITH_OPTION_NAME_9	{Shout your agreement}
EXPLORER_MONOLITH_OPTION_TEXT_1	{The Korvax Echoes smile upon you.}
EXPLORER_MONOLITH_OPTION_TEXT_2	{Nothing happens.}
EXPLORER_MONOLITH_OPTION_TEXT_3	{Your Korvax word bank expands!}
EXPLORER_MONOLITH_OPTION_TEXT_4	{The Korvax Echoes have been angered.}
WARRIOR_MONOLITH_OPTION_TEXT_1	{The Vy'keen Ancients wish you glory.}
WARRIOR_MONOLITH_OPTION_TEXT_2	{The Vy'keen Ancients are satisfied.}
WARRIOR_MONOLITH_OPTION_TEXT_3	{The Vy'keen Ancients are angered.}
WARRIOR_MONOLITH_OPTION_TEXT_4	{Your Vy'keen word bank expands!}
WARRIOR_MONOLITH_OPTION_TEXT_5	{The Vy'keen Ancients reward your fearlessness.}
WARRIOR_MONOLITH_OPTION_TEXT_6	{The Vy'keen Ancients laugh at you.}
TRADER_MONOLITH_OPTION_TEXT_1	{The First Spawn are grateful.}
TRADER_MONOLITH_OPTION_TEXT_2	{The First Spawn are saddened.}
EXPLORER_MONOLITH_OP_NAME_10	{Bow down and worship.}
EXPLORER_MONOLITH_OP_NAME_11	{Show your disdain.}
EXPLORER_MONOLITH_OP_NAME_12	{Ignore the Korvax Echoes.}
EXPLORER_MONOLITH_OP_NAME_13	{Shout in disagreement.}
EXPLORER_MONOLITH_OP_NAME_14	{Indicate that you disagree.}
EXPLORER_MONOLITH_OP_NAME_15	{Walk away}
EXPLORER_MONOLITH_OP_NAME_16	{Attempt to read the ancient symbols.}
EXPLORER_MONOLITH_OP_NAME_17	{Shout in disapproval.}
EXPLORER_MONOLITH_OP_NAME_18	{Appeal for aid.}
EXPLORER_MONOLITH_OP_NAME_19	{State your intelligence.}
WARRIOR_MONOLITH_OPTION_NAME_9	{Take offerings.}
WARRIOR_MONOLITH_OPTION_NAME_10	{Demand aid.}
WARRIOR_MONOLITH_OPTION_NAME_11	{Fire your weapon in the air.}
TRADER_MONOLITH_OPTION_NAME_10	{Indicate that you refuse.}
TRADER_MONOLITH_OPTION_NAME_11	{Disagree.}
TRADER_MONOLITH_OPTION_NAME_12	{Take one of the ancient offerings scattered at the monolith's base.}
TRADER_MONOLITH_OPTION_NAME_13	{Turn your back.}
TRADER_MONOLITH_OPTION_NAME_14	{Ignore the faint calls for attention.}
TRADER_MONOLITH_OPTION_NAME_15	{Leave the fire pit alone.}
TRADER_MONOLITH_OPTION_NAME_16	{Leave the offering.}
TRADER_MONOLITH_OPTION_NAME_17	{Shout in disapproval}
EXPLORER_MONOLITH_OPTION_TEXT_5	{The Korvax Echoes are disappointed in you.}
WARRIOR_MONOLITH_OPTION_NAME_12	{Turn and flee.}
EXPLORER_SHOP_OPTION_NAME_1	{Agree}
EXPLORER_SHOP_OPTION_TEXT_1	{The Korvax Entity seems pleased.}
EXPLORER_SHOP_OPTION_TEXT_2	{The Korvax Entity seems happy to assist.}
EXPLORER_SHOP_OPTION_TEXT_3	{The Korvax Entity seems surprised.}
EXPLORER_SHOP_OPTION_TEXT_4	{The Korvax Entity seems willing to trade.}
EXPLORER_SHOP_OPTION_TEXT_5	{The Korvax Entity seems disappointed.}
EXPLORER_SHOP_OPTION_TEXT_6	{The Korvax Entity seems upset.}
EXPLORER_SHOP_OPTION_TEXT_7	{The Korvax Entity shares a location}
EXPLORER_SHOP_OPTION_TEXT_8	{The Korvax Entity seems excited.}
EXPLORER_SHOP_OPTION_TEXT_9	{The Korvax Entity seems irritated.}
EXPLORER_SHOP_OPTION_TEXT_10	{The Korvax Entity finds you fascinating.}
EXPLORER_SHOP_OPTION_TEXT_11	{The Korvax Entity is willing to assist.}
WARRIOR_SHOP_OPTION_TEXT_1	{The Vy'keen seems to admire your bravado.}
WARRIOR_SHOP_OPTION_TEXT_2	{The Vy'keen nods.}
WARRIOR_SHOP_OPTION_TEXT_3	{The Vy'keen accepts your decision.}
WARRIOR_SHOP_OPTION_TEXT_4	{The Vy'keen is willing to trade.}
WARRIOR_SHOP_OPTION_TEXT_5	{The Vy'keen seems mildly insulted.}
WARRIOR_SHOP_OPTION_TEXT_6	{The Vy'keen shares a location}
WARRIOR_SHOP_OPTION_TEXT_7	{The Vy'keen barks in solidarity.}
WARRIOR_SHOP_OPTION_TEXT_8	{The Vy'keen has been insulted.}
WARRIOR_SHOP_OPTION_TEXT_9	{The Vy'keen seems momentarily pacified.}
WARRIOR_SHOP_OPTION_TEXT_10	{The Vy'keen snarls dismissively.}
WARRIOR_SHOP_OPTION_TEXT_11	{The Vy'keen has been pacified.}
WARRIOR_SHOP_OPTION_TEXT_12	{The Vy'keen's ancestry has been called into question.}
TRADER_SHOP_OPTION_TEXT_1	{The Gek seems pleased.}
TRADER_SHOP_OPTION_TEXT_2	{The Gek chatters happily.}
TRADER_SHOP_OPTION_TEXT_3	{The Gek tries to hide its disappointment.}
TRADER_SHOP_OPTION_TEXT_4	{The Gek is willing to trade.}
TRADER_SHOP_OPTION_TEXT_5	{The Gek is saddened.}
TRADER_SHOP_OPTION_TEXT_6	{The Gek shares a location}
TRADER_SHOP_OPTION_TEXT_7	{The Gek chatters with excitement.}
TRADER_SHOP_OPTION_TEXT_8	{The Gek is visibly deflated.}
TRADER_SHOP_OPTION_TEXT_9	{The Gek seems overjoyed.}
TRADER_SHOP_OPTION_TEXT_10	{The Gek seems disappointed.}
TRADER_SHOP_OPTION_TEXT_11	{The Gek seems impressed.}
TRADER_SHOP_OPTION_TEXT_12	{The Gek seems distressed.}
EXPLORER_SHOP_OPTION_NAME_2	{Disagree}
EXPLORER_SHOP_OPTION_TEXT_12	{The Korvax Entity seems to pity you.}
EXPLORER_SHOP_OPTION_TEXT_13	{The Korvax Entity seems to respect your decision.}
EXPLORER_SHOP_OPTION_TEXT_14	{The Korvax Entity accepts your decision.}
EXPLORER_SHOP_OPTION_TEXT_15	{The Korvax Entity seems relieved.}
WARRIOR_SHOP_OPTION_TEXT_13	{The Vy'keen seems to take pity on you.}
WARRIOR_SHOP_OPTION_TEXT_14	{The Vy'keen growls at your decision.}
TRADER_SHOP_OPTION_TEXT_13	{The Gek is distraught at your decision.}
EXPLORER_RADIO_OPTION_NAME_1	{Scan for Distress Signal Coordinates}
EXPLORER_FACTORY_OPTION_NAME_1	{Take finished products}
EXPLORER_FACTORY_OPTION_NAME_2	{Study processes}
EXPLORER_FACTORY_OPTION_NAME_3	{Study technology}
EXPLORER_FACTORY_OPTION_NAME_4	{Begin process}
WARRIOR_FACTORY_OPTION_TEXT_1	{The facility incinerates its products.}
EXPLORER_FACTORY_OPTION_NAME_5	{Take products}
EXPLORER_CRASH_OPTION_NAME_1	{Search wreckage}
EXPLORER_CRASH_OPTION_NAME_2	{Take cargo}
EXPLORER_SHIP_OPTION_NAME_1	{Take ship}
EXPLORER_SHIP_OPTION_NAME_2	{Positive}
EXPLORER_SHIP_OPTION_TEXT_1	{None}
EXPLORER_SHIP_OPTION_NAME_3	{Neutral}
EXPLORER_OBSERVATORY_OP_NAME_1	{Access Console}
DEATH_QUOTE_1	{THE GODS DO NOT PROTECT FOOLS.
FOOLS ARE PROTECTED BY MORE CAPABLE FOOLS.}
DEATH_QUOTE_2	{THE ONLY WAY OF DISCOVERING THE LIMITS 
OF THE POSSIBLE IS TO VENTURE A LITTLE WAY 
PAST THEM INTO THE IMPOSSIBLE.}
DEATH_QUOTE_3	{I MAY NOT HAVE GONE WHERE I INTENDED TO GO, 
BUT I THINK I HAVE ENDED UP WHERE I NEEDED TO BE.}
DEATH_QUOTE_4	{IN SUCH SECONDS OF DECISION ENTIRE FUTURES ARE MADE.}
DEATH_QUOTE_5	{THE SUPREME IRONY OF LIFE IS THAT HARDLY 
ANYONE GETS OUT OF IT ALIVE.}
DEATH_QUOTE_6	{ALL REALITY IS A GAME.}
DEATH_QUOTE_7	{WE ARE AN IMPOSSIBILITY IN AN IMPOSSIBLE UNIVERSE.}
DEATH_QUOTE_8	{LIFE IS PLEASANT. DEATH IS PEACEFUL.
IT'S THE TRANSITION THAT'S TROUBLESOME.}
DEATH_QUOTE_9	{REALITY IS THAT WHICH, WHEN YOU STOP BELIEVING IN IT, DOESN'T GO AWAY.}
DEATH_QUOTE_10	{THE MYSTERY OF LIFE ISN'T A PROBLEM TO SOLVE,
BUT A REALITY TO EXPERIENCE.}
DEATH_QUOTE_11	{TO APPRECIATE THE WONDER OF THE UNIVERSE, 
ONE MUST FIRST REMAIN ALIVE.}
DEATH_QUOTE_12	{I TELL YOU, WE ARE HERE ON EARTH TO FART AROUND,
AND DON'T LET ANYBODY TELL YOU DIFFERENT.}
DEATH_QUOTE_13	{WE LIVE ON A PLACID ISLAND OF IGNORANCE IN THE MIDST 
OF BLACK SEAS OF INFINITY, AND IT WAS NOT MEANT THAT 
WE SHOULD VOYAGE FAR.}
DEATH_QUOTE_14	{A STAR HAS DIED. ELSEWHERE IN THE COSMOS, 
IN AN UNREMARKABLE CORNER OF ONE GALACTIC ARM, 
A CHILD WAS BORN. SUCH IS THE BALANCE OF EXISTENCE.}
DEATH_QUOTE_15	{I SEE THE BLACKNESS. WORSE THAN SPACE, 
WORSE THAN ANYTHING. UTTERLY BLACK, 
AND IT SWALLOWS ME WHOLE.}
DEATH_QUOTE_16	{LOOKING AT THESE STARS SUDDENLY DWARFED 
MY OWN TROUBLES AND ALL THE GRAVITIES OF 
TERRESTRIAL LIFE...}
DEATH_QUOTE_17	{THERE'S A DIFFERENCE BETWEEN THE FACT THAT THE 
UNIVERSE IS INHERENTLY UNFAIR ON A COSMIC LEVEL, 
AND THE FACT THAT LIFE IS UNFAIR BECAUSE PEOPLE 
ARE ACTIVELY MAKING IT SO.}
DEATH_QUOTE_18	{SO MUCH UNIVERSE, AND SO LITTLE TIME.}
DEATH_QUOTE_19	{I GUESS YOU COULD CALL IT A 'FAILURE', 
BUT I PREFER THE TERM 'LEARNING EXPERIENCE'.}
DEATH_QUOTE_20	{I BELIEVE THAT LIFE IS A GAME, THAT LIFE IS A CRUEL JOKE.}
DEATH_QUOTE_21	{THERE IS NO SUCH THING AS SCIENCE FICTION, 
THERE IS ONLY SCIENCE EVENTUALITY.}
DEATH_QUOTE_22	{ETERNITY IS A LONG TIME, ESPECIALLY TOWARDS THE END.}
DEATH_QUOTE_23	{TWO THINGS ARE INFINITE: THE UNIVERSE AND HUMAN 
STUPIDITY; AND I'M NOT SURE ABOUT THE UNIVERSE.}
DEATH_QUOTE_24	{THERE SEEMS TO BE MORE TO THE UNIVERSE THAN 
RANDOM, CHAOTIC, PURPOSELESS MOVEMENT OF A 
COLLECTION OF MOLECULAR PARTICLES.}
DEATH_QUOTE_25	{WE'D STARED INTO THE FACE OF DEATH, 
AND DEATH BLINKED FIRST.}
DEATH_QUOTE_26	{STABILITY IS THE BEGINNING OF THE END. WE ONLY 
WALK BY CONTINUALLY BEGINNING TO FALL FORWARD.}
DEATH_QUOTE_27	{EVEN WHEN THE WORLD THROWS ITS WORST AND 
THEN TURNS ITS BACK, THERE IS STILL ALWAYS HOPE.}
DEATH_QUOTE_28	{REALITY IS SHAPED BY THE FORCES THAT DESTROY IT.}
DEATH_QUOTE_29	{WE WALK IN DARK PLACES NO OTHERS WILL ENTER.}
DEATH_QUOTE_30	{IF YOU'RE GOING TO DO SOMETHING THAT CRAZY, 
SAVE IT FOR WHEN IT'LL MAKE A DIFFERENCE.}
DEATH_QUOTE_31	{POLLUTED BY CRIMES, AND TORN BY THE BITTEREST 
REMORSE, WHERE CAN I FIND REST BUT IN DEATH?}
DEATH_QUOTE_32	{HERE LIES ONE FROM A DISTANT STAR, BUT THE SOIL IS 
NOT ALIEN TO HIM, FOR IN DEATH HE BELONGS TO THE UNIVERSE.}
DEATH_QUOTE_33	{WE THINK EVERYTHING IN THIS UNIVERSE HAS TO CONFORM 
TO OUR PARADIGM OF WHAT MAKES SENSE.}
DEATH_QUOTE_34	{SOMEWHERE, SOMETHING INCREDIBLE IS WAITING TO BE KNOWN.}
DEATH_QUOTE_35	{SOMETIMES I THINK I MUST HAVE A GUARDIAN IDIOT.}
DEATH_QUOTE_36	{WE'RE EACH OF US ALONE, TO BE SURE. WHAT CAN YOU 
DO BUT HOLD YOUR HAND OUT IN THE DARK?}
DEATH_AUTHOR_1	{- LARRY NIVEN, RINGWORLD}
DEATH_AUTHOR_2	{- ARTHUR C. CLARKE}
DEATH_AUTHOR_3	{- DOUGLAS ADAMS, 
THE LONG DARK TEA-TIME OF THE SOUL}
DEATH_AUTHOR_4	{- DAN SIMMONS. HYPERION}
DEATH_AUTHOR_5	{- ROBERT HEINLEIN}
DEATH_AUTHOR_6	{- IAIN M. BANKS, THE PLAYER OF GAMES}
DEATH_AUTHOR_7	{- RAY BRADBURY}
DEATH_AUTHOR_8	{- ISAAC ASIMOV}
DEATH_AUTHOR_9	{- PHILIP K. DICK,
I HOPE I SHALL ARRIVE SOON}
DEATH_AUTHOR_10	{- FRANK HERBERT, DUNE}
DEATH_AUTHOR_11	{- NEAL ASHER, DARK INTELLIGENCE}
DEATH_AUTHOR_12	{- KURT VONNEUGT, A MAN WITHOUT A COUNTRY}
DEATH_AUTHOR_13	{- H.P. LOVECRAFT, THE CALL OF CTHULHU}
DEATH_AUTHOR_14	{- ALAN DEAN FOSTER, STAR TREK}
DEATH_AUTHOR_15	{- JAMES SMYTHE, THE EXPLORER}
DEATH_AUTHOR_16	{- H.G. WELLS, THE TIME MACHINE}
DEATH_AUTHOR_17	{- JOHN SCALZI, OLD MAN'S WAR}
DEATH_AUTHOR_18	{- TERRY PRATCHETT, THE LAST HERO}
DEATH_AUTHOR_19	{- ANDY WEIR, THE MARTIAN}
DEATH_AUTHOR_20	{- NEIL GAIMAN, AMERICAN GODS}
DEATH_AUTHOR_21	{- STEVEN SPIELBERG}
